matrix,row,col
Ltilde,6663,120
I,J,V
44.0,1.0,-0.5103481144595811
122.0,1.0,-0.9262536540899241
226.0,1.0,0.04570843842633687
267.0,1.0,1.7809536653462722e-17
381.0,1.0,-0.39390981997752916
408.0,1.0,1.7152523608293992e-17
468.0,1.0,0.8612894460203091
497.0,1.0,-7.212026877287427e-18
518.0,1.0,-0.604944863575862
538.0,1.0,-1.0826348709246445e-18
577.0,1.0,-7.779246139840806e-17
652.0,1.0,-1.2548785831781564e-17
667.0,1.0,-2.7943575678272154e-17
793.0,1.0,-1.2398000104338689e-17
844.0,1.0,-1.9803121879294262e-16
982.0,1.0,-0.07476875248661988
1043.0,1.0,-0.05636221064497974
1065.0,1.0,-0.8141310667213032
1102.0,1.0,-2.0512092180461206e-17
1300.0,1.0,-2.050933467224156
1591.0,1.0,-0.008725891168169192
1596.0,1.0,-1.8065554824010302e-17
1855.0,1.0,-0.022531972726552045
1877.0,1.0,1.538103845604212e-17
2019.0,1.0,5.147007434056582e-18
2037.0,1.0,-1.71095354577069
2101.0,1.0,-0.4761176695909727
2121.0,1.0,-9.244042781468225e-18
2189.0,1.0,1.6284547897860313e-17
2254.0,1.0,-5.157998579114431e-18
2349.0,1.0,-6.267697993778591e-17
2470.0,1.0,-1.9890520347599325
2563.0,1.0,3.008582118093992e-18
2593.0,1.0,-3.7467666155614774e-17
2638.0,1.0,4.613855863523938e-19
2646.0,1.0,-0.9887501539211387
2680.0,1.0,-1.1383636605373997
2681.0,1.0,-2.59393569252507e-33
2711.0,1.0,7.787025713986159e-18
2746.0,1.0,-4.142674332287812e-18
2839.0,1.0,2.0155741271443437e-17
3129.0,1.0,-0.012614976056298466
3157.0,1.0,-3.562505370107781e-17
3202.0,1.0,-0.4970558130239898
3501.0,1.0,-2.1251506635721262e-17
3536.0,1.0,-1.0398611060416776
3659.0,1.0,-1.4746979081770325e-19
3660.0,1.0,-1.4137215660009782e-16
3728.0,1.0,-0.6554515825937873
3733.0,1.0,3.7775828983417e-18
3750.0,1.0,-2.4448793570360684e-17
3767.0,1.0,-1.1954650645613571
3863.0,1.0,-2.1749821517536843
3902.0,1.0,-1.6309840740500232
3968.0,1.0,-0.6532827622541126
3984.0,1.0,-0.5459200332274238
4046.0,1.0,-1.2837305211290144
4135.0,1.0,-1.2277831870093474
4351.0,1.0,-0.3779038741223324
4377.0,1.0,-0.7534096549591466
4663.0,1.0,-7.219055806319713e-19
4696.0,1.0,-7.950414560437108e-17
4699.0,1.0,-1.0541020118617515e-18
4734.0,1.0,-0.712725821225885
4738.0,1.0,-6.956177794435901e-18
4882.0,1.0,-0.7254543694587112
4889.0,1.0,-1.192337749574308
5104.0,1.0,-1.3577129624208841
5198.0,1.0,8.891939305346625e-19
5211.0,1.0,0.9472393073531403
5240.0,1.0,-1.1502453257039755
5271.0,1.0,-1.0844030870094855e-17
5291.0,1.0,-8.928562868477717e-17
5318.0,1.0,-1.976237273133245e-17
5480.0,1.0,-2.567991088472332e-17
5505.0,1.0,-8.786773158311264e-17
5514.0,1.0,-1.49456143964801e-17
5517.0,1.0,1.7893217249314025e-17
5571.0,1.0,-0.05504674842830224
5581.0,1.0,1.1722554135946033e-17
5636.0,1.0,-1.3118650215074229e-18
5696.0,1.0,-3.0269191352259867e-18
5748.0,1.0,-0.3549440860941946
5820.0,1.0,0.9578630568768206
5837.0,1.0,0.2231907785736857
5845.0,1.0,-1.9700195028948084
5880.0,1.0,-1.8668389170966555
5970.0,1.0,-2.042467359665203
5974.0,1.0,0.6511607716351016
6047.0,1.0,-2.137435794004305
6129.0,1.0,-0.7072783844526542
6136.0,1.0,0.5763939946012324
6155.0,1.0,-1.088102539688904
6287.0,1.0,-2.1503847072623796
6329.0,1.0,-2.6956003137950995
6341.0,1.0,-1.3429719570732273
6433.0,1.0,-1.0155256046012189
6471.0,1.0,-0.31363122841377206
6492.0,1.0,-0.05178174548415415
6572.0,1.0,-1.6711171480932454
6662.0,1.0,-6.976778165892065e-17
53.0,2.0,-0.4351874710716195
67.0,2.0,1.9857918572152667e-17
226.0,2.0,-1.2879698803770792
324.0,2.0,-1.4522781581944814e-16
471.0,2.0,-1.1195858150008748
560.0,2.0,-1.4724211782851702
697.0,2.0,-1.2651485966326883
822.0,2.0,-0.7568429616860254
828.0,2.0,3.3520853116509273e-16
874.0,2.0,-2.7330037991229145e-18
1094.0,2.0,-0.8423664648213165
1168.0,2.0,-0.03955631359896916
1262.0,2.0,-1.731071950410437e-16
1425.0,2.0,-3.555354323518303e-16
1766.0,2.0,-2.2170150571226057
1877.0,2.0,-1.0989234009877343e-16
1918.0,2.0,5.1153888187831544e-17
2047.0,2.0,-0.12660269689145753
2071.0,2.0,-0.4077651176602133
2080.0,2.0,-4.614437077128455e-17
2166.0,2.0,-8.635318993651302e-18
2510.0,2.0,2.200377474034999e-16
2522.0,2.0,-1.2825175410668991e-17
2789.0,2.0,-0.5432213177289849
2927.0,2.0,-0.9363396555897326
2935.0,2.0,-1.5145133411550024e-17
2982.0,2.0,-6.27005399636386e-18
3026.0,2.0,-1.336714747921777e-16
3039.0,2.0,3.3579522743922406e-17
3111.0,2.0,-0.8110299246217932
3198.0,2.0,-1.0898569723827606e-15
3450.0,2.0,3.5962718622171564e-16
4059.0,2.0,-1.4095500405481485
4080.0,2.0,-1.210491866998371
4168.0,2.0,-4.937942493878218e-17
4215.0,2.0,-0.20358347463485327
4294.0,2.0,-0.823296260471273
4472.0,2.0,1.7422066029413792e-17
4655.0,2.0,-1.9315628420561914
4748.0,2.0,-1.079473523186687
4832.0,2.0,3.0283262618454314e-16
4835.0,2.0,-8.295541344814566e-17
4865.0,2.0,-1.015469275689096
4883.0,2.0,-1.5143047863983299
4903.0,2.0,1.1252677176570777e-16
5056.0,2.0,-2.4262433158117426e-16
5064.0,2.0,2.000463013358488e-18
5168.0,2.0,1.7765055942188977e-18
5171.0,2.0,-1.014547209779651
5172.0,2.0,-0.053790346900438483
5178.0,2.0,-1.6067914382670312
5212.0,2.0,-0.00662196859008909
5271.0,2.0,-5.052214948226557e-18
5294.0,2.0,-0.3529281580278321
5389.0,2.0,-0.593360163410414
5451.0,2.0,-7.176844033022451e-17
5539.0,2.0,-0.5827807452093736
5581.0,2.0,2.342759021804111e-16
5675.0,2.0,-3.349106127415821e-16
5815.0,2.0,-1.0171297868516478
5819.0,2.0,-1.1624266539357562
5820.0,2.0,-1.0169886064621003
5837.0,2.0,0.1081201999482135
5880.0,2.0,0.2613919687049828
5917.0,2.0,-0.017076997506571434
5953.0,2.0,-2.5164253494201727
5961.0,2.0,0.7187233048625727
5970.0,2.0,0.6923205066574136
5974.0,2.0,-0.010779910354976245
6089.0,2.0,-1.4158274068071155
6136.0,2.0,-1.3138123828860497
6141.0,2.0,0.6734572650631334
6181.0,2.0,-0.000718353832956486
6204.0,2.0,-0.3250214048541056
6210.0,2.0,-0.937099266049134
6211.0,2.0,0.9087862243673792
6216.0,2.0,-2.227310628492877
6301.0,2.0,-0.4203825639186658
6346.0,2.0,-1.0353961399977194
6429.0,2.0,0.4525495088355137
6452.0,2.0,0.1514965349687496
6582.0,2.0,2.0754746024194107e-17
6637.0,2.0,-0.375250462762355
16.0,3.0,-0.1856123275338731
44.0,3.0,-0.7717091443522611
170.0,3.0,-6.57592931489136e-16
200.0,3.0,1.34558527919105e-16
215.0,3.0,7.681851556592112e-16
297.0,3.0,-0.786363777719316
539.0,3.0,-0.5478272314077121
611.0,3.0,1.0371793666818328e-17
697.0,3.0,-1.064183750007119
699.0,3.0,3.299610110789867e-17
700.0,3.0,0.4580715932266729
1026.0,3.0,-0.084946694495055
1027.0,3.0,9.099336344795015e-17
1092.0,3.0,-1.4350792533085657
1187.0,3.0,-0.8271707814777467
1219.0,3.0,-0.6384429208896376
1278.0,3.0,-0.36717787593569445
1458.0,3.0,2.2056011396817147e-15
1476.0,3.0,-1.0994424386598287
1487.0,3.0,-1.0761832511075697
1601.0,3.0,-1.315856315312002e-16
1679.0,3.0,-1.1135798042222769
1877.0,3.0,-1.3246483981199401e-17
1979.0,3.0,-0.10991005456225315
1980.0,3.0,-0.3394994937385473
1982.0,3.0,-0.21025978987469313
1999.0,3.0,-3.063854683016328e-16
2019.0,3.0,-5.4437664290964187e-17
2044.0,3.0,0.5031775509460543
2071.0,3.0,-1.3290344326311876
2175.0,3.0,-1.084446266653869e-17
2522.0,3.0,3.1463204742636533e-16
2579.0,3.0,-1.3377214811379272
2595.0,3.0,-1.6360472739799776
2678.0,3.0,-2.0168104887719858e-16
2727.0,3.0,7.065565370023674e-17
2758.0,3.0,-0.910366329900977
2897.0,3.0,-1.5086833141895009
2982.0,3.0,-3.289628906058632e-18
2989.0,3.0,-2.342823121331472
3117.0,3.0,-0.26738773583905934
3157.0,3.0,9.577233682903872e-16
3233.0,3.0,-9.020272406654994e-18
3435.0,3.0,-3.517114214495512e-17
3501.0,3.0,1.1627302611993428e-16
3519.0,3.0,4.193814929412342e-16
3783.0,3.0,3.3704992260638165e-17
3842.0,3.0,-1.365838383314051
4031.0,3.0,-0.5235912108745695
4064.0,3.0,1.272995468164201e-18
4289.0,3.0,-2.880413009762014
4663.0,3.0,-2.573926511556472e-17
4696.0,3.0,1.261590234531015e-16
4947.0,3.0,2.827798813265314e-15
4982.0,3.0,-0.9269647136183155
5025.0,3.0,0.21662186257857424
5090.0,3.0,-6.562465010647001e-17
5094.0,3.0,3.769065389543618e-18
5180.0,3.0,-1.0927129221507763
5195.0,3.0,3.1758582821404416e-16
5261.0,3.0,-0.7629947245088227
5264.0,3.0,-0.3522619058392499
5271.0,3.0,-3.017399243479501e-16
5280.0,3.0,-1.0376967958138442e-16
5292.0,3.0,-2.348303937617601e-16
5311.0,3.0,1.7667232103958217e-15
5362.0,3.0,-0.3113139771010511
5482.0,3.0,-0.9387690305243057
5679.0,3.0,-2.2843028620153637e-16
5782.0,3.0,-0.2709959207831554
5818.0,3.0,-2.0264982477451525
5819.0,3.0,0.6020165543442241
5876.0,3.0,-1.4665753978476324
5942.0,3.0,0.07795882860708064
5970.0,3.0,0.8590871749864342
5972.0,3.0,-1.5235256395573686
5973.0,3.0,-1.5702396094533562
5983.0,3.0,-1.220060695840993
6056.0,3.0,-2.9887976497049973
6259.0,3.0,-0.32510965986486856
6272.0,3.0,-0.4503976939934565
6287.0,3.0,-1.7845677066632453
6301.0,3.0,0.1703308031555866
6316.0,3.0,0.916589069782178
6640.0,3.0,-9.19172403431456e-15
52.0,4.0,-1.5088492771431208
96.0,4.0,1.21035105043061e-18
135.0,4.0,7.287522089135265e-18
143.0,4.0,-0.44016920402603416
203.0,4.0,-1.1068148218009717
226.0,4.0,-1.8024974296075562
322.0,4.0,-1.92140839899044e-17
376.0,4.0,-1.6092129888289144
423.0,4.0,-2.168589110772088e-17
441.0,4.0,-0.13106628594966827
489.0,4.0,-0.765649538358692
545.0,4.0,-1.5017370595769975e-32
611.0,4.0,3.201946635433623e-17
672.0,4.0,-0.10272265318286626
676.0,4.0,1.9486040117875858e-18
698.0,4.0,0.9933658703859635
862.0,4.0,-0.3226557037544008
950.0,4.0,-1.039773152821218
1027.0,4.0,-3.4634366772644415e-16
1178.0,4.0,-0.8358457218578548
1262.0,4.0,4.183789212419777e-16
1287.0,4.0,-0.8531295604939647
1818.0,4.0,-0.5520553729420015
1827.0,4.0,5.534866640554366e-18
1903.0,4.0,-0.80297964708885
2044.0,4.0,0.8391291211897016
2047.0,4.0,-0.429313407159113
