vector,row,col
v,13543,1
I,V
555.0,5.165977223799773e-16
564.0,-1.7102052851428203e-14
565.0,-1.7102052851428203e-14
573.0,7.714456922821831e-15
581.0,-1.6297876596711322e-15
587.0,-1.656889129439319e-16
593.0,-2.1640432493863013e-14
594.0,-2.66126150972845e-16
604.0,8.643287509721685e-15
613.0,-2.7488996536184916e-14
615.0,-7.222229877685942e-17
628.0,-7.222229877685942e-17
633.0,2.231646896917698e-14
648.0,2.56678492592515e-15
659.0,-2.9920495222275455e-15
661.0,-1.6284280009013162e-14
667.0,-1.0096420243521104e-14
678.0,4.563239983135901e-15
679.0,4.563239983135901e-15
681.0,-2.5671679967686386e-15
685.0,4.850328822475115e-16
694.0,4.8690041875759725e-15
701.0,7.222229877685942e-17
706.0,2.5671679967686386e-15
721.0,2.5671679967686386e-15
732.0,3.1622931004363263e-16
736.0,3.02926539119133e-14
739.0,-1.5285421861874003e-14
744.0,3.1530495912758626e-16
749.0,2.4579362678904106e-15
751.0,-7.891486249997849e-15
752.0,5.433549982107437e-15
756.0,-7.891486249997849e-15
757.0,5.433549982107437e-15
759.0,-3.1597241553333636e-15
762.0,2.1521893030152087e-15
768.0,7.51801259723837e-16
770.0,4.739586233000045e-15
772.0,-3.1597241553333636e-15
773.0,-3.2219264865590772e-15
778.0,3.1597241553333636e-15
779.0,3.6914285801001104e-14
783.0,-2.9022799551003256e-14
788.0,7.511159003092548e-17
789.0,5.010654326745097e-15
793.0,-1.5798620776666818e-15
803.0,8.719056656989338e-14
804.0,3.9173837368067525e-15
807.0,1.5798620776666816e-15
814.0,-1.5798620776666816e-15
816.0,-1.840117452956622e-14
818.0,7.740654618420823e-15
837.0,3.066772954792497e-15
846.0,5.872682368504199e-14
848.0,-3.944304526105059e-31
849.0,6.798385513603246e-15
856.0,1.665795587618793e-15
860.0,5.134335993537277e-15
863.0,-1.7111899506167665e-15
881.0,-6.086657307901037e-15
882.0,-6.086657307901037e-15
883.0,-6.086657307901037e-15
888.0,-1.405438214962514e-17
894.0,8.719056656989338e-14
902.0,-1.1102230246251575e-16
913.0,8.656172997545206e-15
916.0,9.687939963746961e-15
919.0,-4.216314644887726e-18
921.0,4.539556549435337e-17
932.0,5.134335993537277e-15
933.0,-5.134335993537277e-15
936.0,0.8472526499159314
945.0,-9.086548604111933e-16
946.0,-4.440892098500626e-16
956.0,-2.7145546373831767e-14
958.0,5.827316225678642e-14
960.0,4.536614282555793e-16
967.0,0.8472526499159304
969.0,-0.8472526499159304
974.0,-1.687692859403887e-15
976.0,8.928918017037375e-16
978.0,7.948010577001495e-16
988.0,-1.1102230246251565e-16
1003.0,2.068870969272535e-15
1032.0,9.863773502876057e-18
1043.0,0.7238567270213063
1045.0,-1.0096420243521104e-14
1049.0,9.079113098870673e-17
1061.0,-1.840117452956622e-14
1064.0,1.840117452956622e-14
1078.0,2.5224396730206905e-15
1080.0,-4.414269427786208e-15
1081.0,1.215492404620703e-14
1092.0,2.882540436096391e-14
1106.0,1.889000587724731e-14
1115.0,-1.778701030782652e-16
1118.0,-0.9984404261791813
1119.0,-0.9984404261791762
1121.0,-1.656889129439319e-16
1143.0,-2.3277992917634526e-14
1186.0,-7.010625560456081e-15
1205.0,2.6465435941491835e-14
1209.0,-7.222229877685942e-17
1219.0,3.674303036820236e-15
1305.0,5.1335698518503e-15
1309.0,2.882540436096391e-14
1315.0,-6.581492896859491e-17
1320.0,-2.1666689633057824e-16
1343.0,6.729842397386616e-16
1348.0,-2.7584222000876637e-18
1362.0,5.134335993537277e-15
1369.0,4.331818612699533e-18
1370.0,1.0820216246931507e-14
1377.0,-1.1523136919481942e-14
1406.0,7.661416869775881e-19
1437.0,-2.5671679967686386e-15
1438.0,-2.882540436096391e-14
1439.0,-1.9599941027100557e-15
1450.0,-1.1376517970776823e-16
1453.0,3.131429815437114e-17
1455.0,1.3520444141657251e-14
1456.0,-1.404508391453929e-18
1464.0,3.7852747571784327e-17
1470.0,-1.404508391453929e-18
1479.0,-1.404508391453929e-18
1480.0,-1.404508391453929e-18
1482.0,2.7584222000876637e-18
1489.0,3.2702771044817118e-15
1491.0,6.533551819445775e-18
1502.0,-1.6585455129048225e-14
1515.0,-6.086657307901037e-15
1516.0,-5.115397940481022e-15
1521.0,-6.086657307901037e-15
1527.0,2.1617069609139248e-14
1529.0,-5.115397940481022e-15
1537.0,9.059308579140928e-16
1547.0,-2.5432492585068123e-14
1567.0,-2.882540436096391e-14
1573.0,-1.889000587724731e-14
1574.0,-9.21597990961397e-15
1579.0,-1.6573273102255353e-14
1580.0,1.6573273102255353e-14
1581.0,-1.6573273102255353e-14
1582.0,1.6573273102255353e-14
1583.0,-1.6573273102255353e-14
1584.0,1.6573273102255353e-14
1585.0,-7.801551802619217e-15
1587.0,-7.801551802619217e-15
1589.0,-7.801551802619217e-15
1595.0,-7.801551802619217e-15
1607.0,-2.882540436096391e-14
1617.0,1.8229946897570758e-14
1626.0,-2.882540436096391e-14
1627.0,3.3693377537411697e-15
1630.0,3.1622931004363263e-16
1632.0,-3.1622931004363263e-16
1638.0,7.634489434177608e-15
1639.0,-2.1067194563304534e-14
1650.0,1.8229946897570758e-14
1651.0,1.8229946897570758e-14
1670.0,4.563239983135901e-15
1682.0,-1.9599941027100557e-15
1696.0,-2.66126150972845e-16
1714.0,-2.5671679967686386e-15
1728.0,-2.5864436331748366e-14
1733.0,2.321740752711102e-14
1748.0,-3.809160067522034e-15
1758.0,5.238632688088626e-16
1759.0,2.882540436096391e-14
1760.0,-2.882540436096391e-14
1762.0,6.265526021113656e-15
1766.0,9.664016849144876e-15
1767.0,-6.794739741038064e-15
1777.0,8.898535081364111e-15
1805.0,3.648226940745126e-15
1809.0,-2.1666689633057824e-16
1810.0,9.459148773827588e-16
1811.0,1.595028428685556e-14
1813.0,-5.872682368504199e-14
1819.0,-3.500480686511064e-16
1826.0,-1.0469611948591067e-14
1861.0,-5.69593274646696e-16
1862.0,-3.500480686511064e-16
1871.0,-5.69593274646696e-16
1872.0,-8.137046780667085e-16
1897.0,6.794739741038064e-15
1914.0,7.084543671165015e-16
1919.0,7.30237578024992e-15
1948.0,9.21597990961397e-15
1949.0,9.21597990961397e-15
1953.0,6.798385513603246e-15
1958.0,1.9727547005752112e-16
1960.0,-1.9727547005752112e-16
1975.0,-1.9727547005752112e-16
1976.0,-9.863773502876056e-17
1978.0,1.9727547005752112e-16
1980.0,-9.863773502876056e-17
1996.0,5.787911559432006e-16
1997.0,5.787911559432006e-16
1999.0,4.850328822475115e-16
2000.0,-0.9763344012968928
2010.0,-2.2287671696157342e-17
2019.0,-1.0268671987074554e-14
2024.0,-0.09263903443091578
2027.0,1.2314393904449565e-15
2028.0,-2.0102555508735586e-15
2032.0,-3.3693377537411697e-15
2034.0,2.2299061363973254e-15
2035.0,-2.3277992917634526e-14
2042.0,-6.794739741038064e-15
2060.0,-2.1511527369920103e-14
2064.0,-7.010625560456081e-15
2071.0,1.0240412664951322e-14
2085.0,1.930628237608948e-14
2086.0,-1.274397590159394e-15
2087.0,-4.539556549435337e-17
2101.0,2.52243967302069e-15
2103.0,-5.134335993537277e-15
2106.0,-0.02820437661882709
2107.0,0.02820437661882709
2112.0,4.539556549435337e-17
2119.0,2.536868805898317e-15
2121.0,0.19343995160805588
2131.0,-2.882540436096391e-14
2141.0,-1.0096420243521104e-14
2145.0,-2.5919497346935268e-14
2151.0,-1.2554189777861284e-14
2152.0,-4.5609023473252945e-17
2156.0,-2.9158489128460293e-17
2157.0,2.9158489128460293e-17
2166.0,-1.565714907718557e-17
2175.0,1.2835839983843193e-15
2177.0,1.2554189777861284e-14
2178.0,-1.2554189777861284e-14
2196.0,1.665795587618793e-15
2197.0,5.444843680495084e-17
2203.0,-2.3217407527111017e-14
2204.0,3.416700740976944e-14
2205.0,-2.3217407527111017e-14
2209.0,3.649189621461789e-15
2214.0,1.011112182876032e-15
2220.0,-2.5671679967686386e-15
2239.0,-9.863773502876057e-18
2271.0,-3.1622931004363263e-16
2276.0,3.867620282057702e-15
2289.0,4.9241255521305325e-15
2292.0,9.079113098870673e-17
2297.0,2.0102555508735586e-15
2351.0,-3.051978241129095e-14
2360.0,-2.5671679967686386e-15
2361.0,-5.134335993537277e-15
2383.0,-1.0469611948591067e-14
2416.0,1.9721522630525295e-31
2418.0,-1.4852771731114363e-30
2423.0,1.262177448353619e-29
2428.0,-1.5268978868355216e-14
2430.0,-2.5671679967686386e-15
2433.0,-0.1008009171771401
2436.0,4.116037099002562e-16
2439.0,0.8388822466951018
2458.0,8.643287509721685e-15
2473.0,1.2967624547458781e-14
2505.0,2.0551706456854197e-15
2514.0,5.085765916776022e-15
2516.0,5.010654326745097e-15
2541.0,-1.8938829354433227e-15
2543.0,2.7584222000876637e-18
2551.0,2.52243967302069e-15
2555.0,4.328086498772603e-15
2557.0,8.656172997545206e-15
2571.0,-7.222229877685942e-17
2575.0,1.889000587724731e-14
2579.0,-2.7488996536184916e-14
2603.0,2.7561218834961775e-14
2605.0,7.222229877685942e-17
2611.0,-2.7488996536184916e-14
2614.0,2.231646896917698e-14
2620.0,1.5798620776666818e-15
2633.0,-9.359916598554863e-16
2645.0,-2.6465435941491835e-14
2659.0,-2.7730254671745045e-16
2671.0,5.777783902148753e-16
2672.0,-7.222229877685942e-17
2673.0,7.222229877685942e-17
2677.0,7.838700365070232e-15
2679.0,6.500006889917348e-16
2685.0,2.1640432493863013e-14
2687.0,9.800380949787151e-16
2712.0,-1.5798620776666818e-15
2717.0,-1.5798620776666818e-15
2721.0,-0.6551965312528925
2730.0,-1.5798620776666816e-15
2733.0,-2.0312315268758633e-15
2739.0,3.647224998478494e-15
2740.0,-3.214318145581682e-14
2743.0,9.079113098870673e-17
2754.0,-9.013724091498447e-16
2758.0,-0.8767675379072513
2773.0,5.238632688088626e-16
2774.0,5.238632688088626e-16
2787.0,-5.134335993537277e-15
2804.0,-9.423778648487199e-16
2809.0,2.1483265931979272e-14
2812.0,1.7061657468639498e-17
2822.0,-5.134335993537277e-15
2823.0,1.9864359734410447e-15
2840.0,2.1640432493863015e-15
2849.0,4.331818612699533e-18
2852.0,-2.1640432493863015e-15
2866.0,-1.0820216246931507e-14
2868.0,-4.328086498772603e-15
2873.0,-4.328086498772603e-15
2876.0,-4.328086498772603e-15
2883.0,-5.123670023797192e-15
2887.0,8.96069988758221e-22
2906.0,1.8648175597346917e-15
2908.0,-1.9599941027100557e-15
2933.0,2.5671679967686386e-15
2989.0,6.7086858600581956e-15
2995.0,3.020114947158664e-15
2997.0,-5.3317755272008265e-15
2998.0,3.020114947158664e-15
2999.0,-5.3317755272008265e-15
3007.0,8.898535081364111e-15
3008.0,-5.134335993537277e-15
3009.0,5.134335993537277e-15
3010.0,-5.134335993537277e-15
3014.0,-5.134335993537277e-15
3016.0,-5.134335993537277e-15
3020.0,0.7895563849832109
3040.0,-1.4960247611137727e-15
3053.0,-8.102485264105351e-15
3062.0,5.123670023797192e-15
3064.0,-5.123670023797192e-15
3074.0,-7.166493604249865e-15
3079.0,-3.364921198693308e-16
3080.0,6.277094888930642e-17
3083.0,-2.1640432493863013e-14
3084.0,-5.807320233275939e-16
3087.0,5.444843680495084e-17
3089.0,-1.7251038225407403e-14
3125.0,-1.7111899506167665e-15
3126.0,1.7111899506167665e-15
3127.0,-1.778701030782652e-16
3139.0,1.2207723720591237e-15
3147.0,0.22812520835920072
3151.0,3.1622931004363263e-16
3170.0,-2.219559849459876e-17
3187.0,7.856925726404077e-15
3190.0,0.11197298080718941
3193.0,0.12742805234233912
3198.0,5.085765916776022e-15
3201.0,1.4029135128313796e-18
3204.0,1.595028428685556e-14
3206.0,5.085765916776022e-15
3208.0,1.595028428685556e-14
3212.0,1.800062414351366e-15
3230.0,-5.134335993537277e-15
3250.0,-1.0426604068504957e-15
3252.0,-2.3277992917634526e-14
3255.0,1.2207723720591237e-15
3258.0,2.3441108884334193e-14
3263.0,-4.372886897185173e-15
3270.0,6.798385513603246e-15
3276.0,-3.1609100972365295e-14
3279.0,4.372886897185173e-15
3283.0,-7.010625560456081e-15
3286.0,-4.255864199995744e-15
3294.0,-1.5798620776666816e-15
3300.0,-1.5798620776666816e-15
3302.0,3.159724155333363e-15
3316.0,0.8999781324746845
3319.0,-5.433549982107437e-15
3325.0,1.8918297547655177e-15
3337.0,5.977469166264813e-15
3361.0,-2.7488996536184916e-14
3364.0,6.798385513603246e-15
3365.0,6.798385513603246e-15
3369.0,6.798385513603246e-15
3373.0,-2.7204613377711432e-14
3396.0,-2.702656759463305e-14
3400.0,-6.778296391966598e-17
3405.0,-4.539556549435337e-17
3410.0,-2.3203128788772266e-14
3414.0,2.968485780759264e-15
3415.0,-1.8938829354433227e-15
3417.0,-6.778296391966598e-17
3419.0,-1.5183255085444804e-15
3430.0,8.524067328065654e-15
3437.0,3.1622931004363263e-16
3443.0,-6.794739741038064e-15
3449.0,1.447079583434497e-14
3462.0,-1.6573273102255353e-14
3465.0,-2.261602596917234e-14
3473.0,-1.9864359734410447e-15
3477.0,-2.1617069609139248e-14
3484.0,5.085765916776022e-15
3496.0,7.998352994662757e-15
3502.0,-1.8918297547655177e-15
3503.0,1.8918297547655177e-15
3530.0,5.165977223799773e-16
3537.0,8.17828894683669e-15
3540.0,2.85886114555501e-17
3544.0,-8.718540148305662e-14
3546.0,2.8117405418267183e-14
3547.0,3.411723797474498e-16
3548.0,-5.135262077374e-15
3556.0,-2.3203128788772266e-14
3563.0,6.7086858600581956e-15
3577.0,1.8918297547655177e-15
3586.0,-9.013724091498456e-16
3587.0,2.098067248858347e-15
3589.0,2.098067248858347e-15
3590.0,4.327446096330657e-14
3592.0,2.968485780759264e-15
3593.0,-1.0096420243521104e-14
3594.0,6.7086858600581956e-15
3598.0,6.277094888930642e-15
3602.0,-2.1658502127780134e-15
3603.0,-3.0152238369946658e-15
3604.0,-1.4243774662977047e-14
3605.0,1.2905519489756254e-14
3619.0,-2.9158489128460293e-17
3635.0,5.238632688088626e-16
3639.0,-2.7488996536184916e-14
3642.0,6.778296391966638e-17
3643.0,-2.1658502127780134e-15
3660.0,2.7204613377711432e-14
3662.0,9.21597990961397e-15
3714.0,4.966089933602612e-16
3727.0,-5.135262077374e-15
3728.0,-5.135262077374e-15
3731.0,4.331818612699533e-18
3741.0,-1.3170996949518362e-15
3743.0,-9.079113098870781e-17
3762.0,3.1609100972365295e-14
3765.0,-2.723733929661202e-16
3771.0,-2.874017336317408e-15
3777.0,-1.582029945861498e-14
3786.0,2.5919497346935268e-14
3790.0,-1.938221580206422e-15
3794.0,1.1614640466551878e-15
3807.0,-1.404508391453929e-18
3820.0,5.165977223799773e-16
3830.0,-2.1658502127780134e-15
3842.0,-2.7488996536184916e-14
3850.0,3.547312426538904e-16
3874.0,-4.0447464451221426e-17
3879.0,1.798648922043573e-14
3880.0,-2.4191709851098718e-15
3881.0,3.2284101887546205e-15
3882.0,-1.9347494227920713e-15
3883.0,5.207450457310854e-16
3884.0,-8.769483087022061e-15
3885.0,-3.4723468926141964e-17
3886.0,1.9085273909648226e-15
3887.0,5.183602618564215e-15
3888.0,4.531334440432081e-15
3891.0,-4.0458039347963093e-16
3893.0,-1.4744049534106564e-15
3896.0,-4.275721707028676e-15
3897.0,4.8334215947400436e-15
3902.0,-2.1700823999855774e-16
3903.0,-1.3170996949518362e-15
3907.0,-1.0471750627084576e-15
3922.0,5.741408347882305e-15
3931.0,-1.938221580206422e-15
3934.0,-1.853951076719186e-16
3938.0,-7.379287088698941e-15
3943.0,4.427203212686772e-15
3944.0,1.052320805122631e-17
3945.0,1.7241204606186243e-15
3946.0,1.3884934001905998e-15
3947.0,2.7359819661214383e-15
3950.0,1.052320805122631e-17
3951.0,1.58807797300811e-15
3954.0,-4.666663297010245e-16
3956.0,-1.404508391453929e-18
3960.0,-1.6725486354604362e-15
3961.0,1.0140692489203023e-14
3962.0,-3.037723617832797e-15
3963.0,-1.404508391453929e-18
3974.0,4.666663297010245e-16
3997.0,6.627089217726605e-16
4004.0,9.200859857643647e-16
4006.0,-5.742263168343338e-16
4010.0,-8.678388250440445e-15
4015.0,2.805814902014443e-16
4017.0,8.567501187868965e-17
4019.0,7.022541957269644e-17
4032.0,2.4411140342001256e-16
4033.0,3.852178123985261e-15
4035.0,-1.7172829444591834e-15
4037.0,-2.702656759463305e-14
4044.0,-5.134335993537277e-15
4046.0,5.872682368504199e-14
4050.0,-1.5765247956379315e-15
4052.0,-3.1530495912758626e-16
4056.0,5.112639518280934e-15
4065.0,3.4123217595956314e-17
4070.0,4.692487769512134e-15
4089.0,-0.49573151866210596
4106.0,0.8663676280468616
4110.0,1.001526337827372
4113.0,-0.9994461364341709
4119.0,0.17520003880048793
4133.0,-0.8986449591617817
4145.0,0.7518137581295743
4147.0,0.5248000261901866
4157.0,-0.21057323369942504
4160.0,-1.0387452282658236
4170.0,0.9107629931798691
4183.0,-0.07515138882253869
4186.0,0.6236117292489961
4206.0,-0.1056066754406273
4207.0,0.06548055189199614
4213.0,-0.011436695219533914
4221.0,0.6491113294462916
4232.0,0.2996563692737324
4269.0,-0.4691737037046292
4275.0,0.7908487469030065
4283.0,0.3440311393921313
4302.0,-0.09700301494847213
4305.0,-1.03187566668141
4314.0,0.527306641585315
4331.0,0.684446021152072
4334.0,-0.241089059155315
4340.0,-0.0031464994328728735
4376.0,-0.10201714562308178
4377.0,-0.29788248515150206
4382.0,-1.3202657064801226
4383.0,-0.14697530923813004
4395.0,0.8929441517163678
4415.0,0.7340144514686755
4424.0,-1.074054769881136
4433.0,-0.015275176279511396
4448.0,0.9565527888449705
4460.0,-0.12665048348520425
4463.0,0.4078395774466049
4473.0,-1.0794418597317519
4494.0,0.6997986029366153
4501.0,-0.6768439270324769
4505.0,0.07897759121229697
4513.0,-1.4011008474462443
4514.0,-0.04965444007501883
4529.0,-0.5205157785986776
4546.0,-0.5303587936898841
4547.0,-0.7143870980441503
4549.0,0.6239119187055515
4561.0,0.6753435736023385
4582.0,0.17093935530805304
4588.0,-0.6236117292489961
4594.0,-0.2241715530915338
4622.0,2.3603397939966865e-15
4635.0,-0.8767675379072538
4641.0,0.8767675379072513
4644.0,2.5770066903272647e-15
4648.0,-0.8767675379072513
4654.0,-0.22812520835920072
4705.0,-0.8663676280468616
4720.0,-2.1690551998089677e-18
4755.0,1.1142395244184786e-16
4770.0,-3.112490183432063e-17
4773.0,3.611114938842971e-16
4825.0,0.7238567270213063
4826.0,-0.49573151866210596
4831.0,2.1666689633057824e-16
4832.0,1.0334720061118005e-16
4849.0,5.114637880688748e-16
4878.0,5.466491457285052e-16
4879.0,-2.2702117136792206e-16
4891.0,1.9079261204721556e-14
4901.0,1.4907421736480997e-15
4906.0,2.121352091903272e-15
4910.0,-8.783580266763652e-17
4916.0,-4.031407617952228e-16
4919.0,1.853261205899305e-14
4923.0,5.165977223799773e-16
4943.0,4.4141054449182434e-16
4944.0,-2.1690551998089677e-18
4951.0,-2.179629488524825e-15
4973.0,-0.9399546249804938
4979.0,-6.7086858600581956e-15
4989.0,-6.798385513603246e-15
4993.0,-1.1102230246251565e-16
5005.0,3.271880654582507e-17
5007.0,3.271880654582507e-17
5008.0,3.271880654582507e-17
5017.0,1.404508391453929e-18
5028.0,-1.404508391453929e-18
5030.0,-5.134335993537277e-15
5034.0,1.1614640466551878e-15
5037.0,1.1614640466551878e-15
5045.0,-5.134335993537277e-15
5048.0,-5.134335993537277e-15
5066.0,-1.7111899506167665e-15
5069.0,-5.134335993537277e-15
5071.0,-5.134335993537277e-15
5099.0,1.5811465502181631e-16
5101.0,-6.695970655014317e-15
5102.0,-9.891738732198334e-16
5107.0,7.222229877685942e-17
5119.0,7.025426944126353e-17
5131.0,-5.134335993537277e-15
5190.0,-2.5671679967686386e-15
5192.0,-2.5671679967686386e-15
5195.0,-5.134335993537277e-15
5217.0,3.1622931004363263e-16
5227.0,2.231646896917698e-14
5256.0,7.222229877685942e-17
5258.0,-4.814819918457295e-17
5259.0,7.222229877685942e-17
5260.0,7.222229877685942e-17
5262.0,7.222229877685942e-17
5270.0,-5.134335993537277e-15
5293.0,-2.1640432493863015e-15
5305.0,-1.0708283365119336e-15
5307.0,-1.0708283365119336e-15
5313.0,-2.1640432493863015e-15
5314.0,-2.1640432493863015e-15
5315.0,-2.1640432493863015e-15
5316.0,-2.1640432493863015e-15
5318.0,6.419907449382045e-15
5319.0,-2.1640432493863015e-15
5320.0,-2.1640432493863015e-15
5321.0,7.222229877685942e-17
5322.0,7.222229877685942e-17
5323.0,2.1255958115254952e-14
5325.0,7.222229877685942e-17
5326.0,-7.222229877685942e-17
5327.0,7.222229877685942e-17
5331.0,-1.0418764871859305e-15
5332.0,-1.0418764871859305e-15
5333.0,-1.0418764871859305e-15
5334.0,-1.0418764871859305e-15
5344.0,7.222229877685942e-17
5349.0,-7.222229877685942e-17
5350.0,-7.222229877685942e-17
5352.0,7.222229877685942e-17
5362.0,2.3277992917634526e-14
5369.0,-5.134335993537277e-15
5376.0,4.328086498772603e-15
5381.0,-2.1640432493863015e-15
5382.0,-2.1640432493863015e-15
5398.0,-2.1640432493863015e-15
5431.0,7.222229877685942e-17
5432.0,7.222229877685942e-17
5436.0,4.216314644887543e-18
5441.0,1.889000587724731e-14
5444.0,4.216314644887543e-18
5448.0,4.216314644887543e-18
5451.0,1.665795587618793e-15
5453.0,5.134335993537277e-15
5456.0,1.8918297547655177e-15
5457.0,-1.7114453311790923e-15
5458.0,-2.5671679967686386e-15
5474.0,5.134335993537277e-15
5476.0,2.008791196504295e-14
5478.0,5.134335993537277e-15
5490.0,-1.0144924771890578e-15
5498.0,-7.222229877685942e-17
5503.0,-3.611114938842971e-17
5508.0,-2.7488996536184916e-14
5510.0,-2.7488996536184916e-14
5523.0,-5.878420134205447e-15
5532.0,-2.1640432493863015e-15
5533.0,-2.1640432493863015e-15
5547.0,-5.134335993537277e-15
5556.0,7.222229877685942e-17
5558.0,7.222229877685942e-17
5562.0,-2.231646896917698e-14
5569.0,1.3450821653509873e-15
5577.0,-1.0088116240132403e-15
5578.0,1.902453559927259e-16
5592.0,1.902453559927259e-16
5593.0,-1.0088116240132403e-15
5611.0,-1.3520444141657251e-14
5616.0,-2.1511527369920103e-14
5620.0,-2.1511527369920103e-14
5629.0,5.134335993537277e-15
5669.0,2.1666689633057824e-16
5671.0,-4.814819918457295e-17
5672.0,7.222229877685942e-17
5678.0,1.889000587724731e-14
5680.0,7.222229877685942e-17
5682.0,7.222229877685942e-17
5686.0,1.4444459755371884e-16
5688.0,1.4444459755371884e-16
5690.0,7.222229877685942e-17
5692.0,7.222229877685942e-17
5693.0,7.222229877685942e-17
5695.0,-2.9675216196595003e-15
5702.0,7.222229877685942e-17
5706.0,7.222229877685942e-17
5716.0,-4.539556549435337e-17
5721.0,-4.539556549435337e-17
5739.0,-4.9067681873763953e-17
5744.0,-7.398483060208433e-16
5747.0,-7.398483060208433e-16
5752.0,-7.398483060208433e-16
5754.0,-7.398483060208433e-16
5802.0,2.0711138751225154e-14
5813.0,1.7061657468639498e-17
5815.0,1.7061657468639498e-17
5817.0,1.7061657468639498e-17
5819.0,1.7061657468639498e-17
5822.0,-7.398483060208433e-16
5824.0,-7.398483060208433e-16
5826.0,-7.398483060208433e-16
5828.0,-7.398483060208433e-16
5830.0,5.13394102595926e-18
5832.0,-7.398483060208433e-16
5834.0,-7.398483060208433e-16
5836.0,5.13394102595926e-18
5846.0,2.374984809442888e-14
5857.0,-1.5728307436513991e-15
5878.0,2.3277992917634526e-14
5885.0,3.271880654582507e-17
5887.0,1.404508391453929e-18
5889.0,-1.565714907718557e-17
5909.0,1.4444459755371884e-16
5913.0,7.222229877685942e-17
5917.0,2.3277992917634526e-14
5918.0,7.222229877685942e-17
5926.0,2.874017336317408e-15
5929.0,-0.6551965312528925
5935.0,7.222229877685942e-17
5936.0,-1.8102401851725116e-15
5937.0,1.4444459755371884e-16
5939.0,7.222229877685942e-17
5940.0,7.222229877685942e-17
5942.0,7.222229877685942e-17
5947.0,-7.222229877685942e-17
5948.0,-7.222229877685942e-17
5949.0,-7.222229877685942e-17
5950.0,-4.856273620905925e-15
5951.0,4.134050633137331e-15
5952.0,1.4444459755371884e-16
5955.0,-7.222229877685942e-17
5956.0,-1.8918297547655177e-15
5957.0,3.9173837368067525e-15
5958.0,-1.4444459755371884e-16
5959.0,7.222229877685942e-17
5960.0,4.0618283343604715e-15
5961.0,7.222229877685942e-17
5962.0,-7.222229877685942e-17
5963.0,3.9173837368067525e-15
5965.0,3.9173837368067525e-15
5968.0,3.9173837368067525e-15
5971.0,3.9173837368067525e-15
5985.0,7.222229877685942e-17
5987.0,7.222229877685942e-17
5994.0,-5.134335993537277e-15
5998.0,1.405438214962514e-17
6004.0,3.9173837368067525e-15
6005.0,3.9173837368067525e-15
6006.0,3.9173837368067525e-15
6007.0,3.9173837368067525e-15
6008.0,3.9173837368067525e-15
6009.0,3.9173837368067525e-15
6010.0,3.9173837368067525e-15
6011.0,3.9173837368067525e-15
6012.0,3.9173837368067525e-15
6013.0,3.9173837368067525e-15
6014.0,3.9173837368067525e-15
6026.0,-3.611114938842971e-17
6028.0,7.222229877685942e-17
6029.0,3.611114938842971e-17
6031.0,-3.611114938842971e-17
6034.0,-3.611114938842971e-17
6039.0,7.222229877685942e-17
