matrix,row,col
Ltilde,3357,80
I,J,V
49.0,1.0,2.759825635182812e-18
74.0,1.0,5.342245657504504e-18
245.0,1.0,-4.647304027105282e-18
246.0,1.0,-1.095772077097282e-17
281.0,1.0,-0.8041315307138855
387.0,1.0,8.223455466965228e-17
456.0,1.0,-2.7850288080384686e-17
465.0,1.0,-1.2842647969637856e-17
604.0,1.0,2.639181183057039e-17
656.0,1.0,5.4659042745812864e-17
686.0,1.0,-5.207428406952073e-16
809.0,1.0,-0.2965809250877536
907.0,1.0,-0.15242421222985908
960.0,1.0,-1.390947232233455
1256.0,1.0,8.706645766409983e-18
1294.0,1.0,8.12635787596958e-17
1392.0,1.0,-1.0952180035511745e-16
1581.0,1.0,-2.6094726343897508e-17
1620.0,1.0,-1.32177028325176
1664.0,1.0,-5.037957293765458e-17
1814.0,1.0,-1.4909751378687465e-17
1874.0,1.0,-1.8328498537972935e-16
2044.0,1.0,-1.1909092691145993e-16
2095.0,1.0,-2.260710405361891
2198.0,1.0,-1.571275160889573
2366.0,1.0,-0.02867030407751224
2641.0,1.0,-1.5029855506828023
2827.0,1.0,2.0004213216858884e-17
2867.0,1.0,-0.22145617832939163
2988.0,1.0,-1.0833681100741452
3031.0,1.0,1.0434233688554291e-17
3293.0,1.0,-0.42041146911259314
29.0,2.0,-1.2904170075810657
68.0,2.0,-0.4163758649737707
75.0,2.0,7.489467680540331e-19
153.0,2.0,-9.92080031576821e-18
190.0,2.0,4.78049351983374e-19
201.0,2.0,3.5464034966479993e-19
289.0,2.0,-0.5507950530608584
317.0,2.0,-1.4958738328671124
415.0,2.0,-8.160841627955175e-18
488.0,2.0,-0.03855476959795585
509.0,2.0,-2.1076217531463906
604.0,2.0,-3.966718245469224e-18
630.0,2.0,-5.519682719675161e-18
656.0,2.0,4.0946451391618845e-19
716.0,2.0,-0.2687336550922421
748.0,2.0,-1.048727162344303
818.0,2.0,-4.024077189457858e-18
864.0,2.0,-6.231002781464296e-18
887.0,2.0,-0.9017080827343005
1011.0,2.0,1.3290897412706427e-17
1117.0,2.0,-8.155005411992599e-18
1132.0,2.0,6.750610346673202e-19
1201.0,2.0,-0.7263857444108787
1496.0,2.0,-1.6623684778606592e-18
1533.0,2.0,-5.879143141129368e-19
1645.0,2.0,-7.548257208938266e-18
1770.0,2.0,2.373329058693685e-18
1839.0,2.0,-4.369212138162898e-19
1967.0,2.0,-0.5487917896418025
1973.0,2.0,-4.639661341904073e-20
2142.0,2.0,-4.688471063355773e-18
2295.0,2.0,-0.1686858445718391
