matrix,row,col
S,2436,3357
I,J,V
12.0,57.0,-1.0
14.0,57.0,1.0
40.0,57.0,1.0
257.0,57.0,-1.0
378.0,57.0,1.0
827.0,58.0,-1.0
853.0,58.0,1.0
855.0,58.0,1.0
879.0,58.0,-1.0
14.0,59.0,-1.0
267.0,59.0,1.0
386.0,59.0,-1.0
487.0,59.0,1.0
14.0,60.0,1.0
564.0,60.0,-1.0
734.0,60.0,1.0
1419.0,60.0,-1.0
1015.0,61.0,-1.0
1419.0,61.0,1.0
16.0,62.0,-1.0
40.0,62.0,1.0
257.0,62.0,-1.0
282.0,62.0,1.0
16.0,63.0,1.0
277.0,63.0,-1.0
351.0,63.0,1.0
378.0,63.0,1.0
541.0,63.0,-1.0
135.0,64.0,1.0
203.0,64.0,-1.0
349.0,64.0,1.0
378.0,64.0,-1.0
734.0,64.0,-1.0
27.0,65.0,1.0
40.0,65.0,1.0
257.0,65.0,-1.0
267.0,65.0,-1.0
110.0,66.0,1.0
349.0,66.0,1.0
378.0,66.0,-1.0
734.0,66.0,-2.0
14.0,67.0,1.0
20.0,67.0,-1.0
386.0,67.0,-1.0
551.0,67.0,1.0
378.0,68.0,1.0
815.0,68.0,-1.0
829.0,68.0,1.0
855.0,68.0,-1.0
856.0,68.0,1.0
19.0,69.0,1.0
564.0,69.0,-1.0
734.0,69.0,1.0
1429.0,69.0,-1.0
1022.0,70.0,-1.0
1429.0,70.0,1.0
1255.0,71.0,-1.0
1630.0,71.0,1.0
21.0,72.0,1.0
378.0,72.0,1.0
1411.0,72.0,-1.0
1433.0,72.0,-1.0
1023.0,73.0,-1.0
1433.0,73.0,1.0
18.0,74.0,1.0
21.0,74.0,-1.0
734.0,74.0,1.0
260.0,75.0,1.0
269.0,75.0,-1.0
360.0,75.0,-1.0
361.0,75.0,1.0
360.0,76.0,-1.0
361.0,76.0,1.0
465.0,76.0,1.0
475.0,76.0,-1.0
360.0,77.0,-1.0
361.0,77.0,1.0
720.0,77.0,1.0
725.0,77.0,-1.0
360.0,78.0,-1.0
361.0,78.0,1.0
448.0,78.0,1.0
456.0,78.0,-1.0
360.0,79.0,-1.0
361.0,79.0,1.0
473.0,79.0,1.0
482.0,79.0,-1.0
360.0,80.0,-1.0
361.0,80.0,1.0
707.0,80.0,1.0
709.0,80.0,-1.0
360.0,81.0,-1.0
361.0,81.0,1.0
412.0,81.0,1.0
630.0,81.0,-1.0
360.0,82.0,-1.0
361.0,82.0,1.0
635.0,82.0,-1.0
745.0,82.0,1.0
238.0,83.0,-1.0
273.0,83.0,1.0
277.0,83.0,-1.0
351.0,83.0,1.0
24.0,84.0,-1.0
267.0,84.0,1.0
386.0,84.0,-1.0
754.0,84.0,1.0
1257.0,85.0,1.0
1635.0,85.0,-1.0
22.0,86.0,1.0
23.0,86.0,-1.0
22.0,87.0,1.0
331.0,87.0,-1.0
386.0,87.0,1.0
22.0,88.0,-1.0
386.0,88.0,-1.0
489.0,88.0,1.0
11.0,89.0,1.0
24.0,89.0,-1.0
76.0,89.0,-1.0
541.0,89.0,1.0
195.0,90.0,-1.0
238.0,90.0,1.0
351.0,90.0,-1.0
378.0,90.0,1.0
796.0,90.0,1.0
134.0,91.0,1.0
257.0,91.0,-1.0
267.0,91.0,-1.0
277.0,91.0,1.0
351.0,91.0,-1.0
653.0,91.0,1.0
1027.0,92.0,-1.0
1439.0,92.0,1.0
25.0,93.0,-1.0
1439.0,93.0,1.0
267.0,94.0,1.0
378.0,94.0,1.0
1408.0,94.0,-1.0
1411.0,94.0,-1.0
267.0,95.0,1.0
670.0,95.0,1.0
1408.0,95.0,-1.0
1549.0,95.0,-1.0
1008.0,96.0,-1.0
1408.0,96.0,1.0
29.0,97.0,-1.0
378.0,97.0,-1.0
386.0,97.0,-1.0
522.0,97.0,1.0
687.0,97.0,1.0
150.0,98.0,1.0
152.0,98.0,-1.0
378.0,98.0,1.0
734.0,98.0,1.0
152.0,99.0,1.0
329.0,99.0,-1.0
533.0,99.0,-1.0
541.0,99.0,1.0
28.0,100.0,1.0
378.0,100.0,1.0
1411.0,100.0,-1.0
1442.0,100.0,-1.0
1030.0,101.0,-1.0
1442.0,101.0,1.0
40.0,102.0,2.0
134.0,102.0,-1.0
257.0,102.0,-1.0
40.0,103.0,1.0
134.0,103.0,-1.0
367.0,103.0,-1.0
496.0,103.0,1.0
40.0,104.0,1.0
134.0,104.0,-1.0
498.0,104.0,1.0
528.0,104.0,-1.0
124.0,105.0,-1.0
126.0,105.0,1.0
349.0,105.0,1.0
378.0,105.0,-1.0
257.0,106.0,-1.0
288.0,106.0,1.0
653.0,106.0,1.0
29.0,107.0,-1.0
40.0,107.0,1.0
134.0,107.0,1.0
257.0,107.0,-1.0
378.0,107.0,1.0
28.0,108.0,1.0
29.0,108.0,-1.0
386.0,108.0,-1.0
757.0,108.0,1.0
29.0,109.0,1.0
378.0,109.0,1.0
1411.0,109.0,-1.0
1447.0,109.0,-1.0
29.0,110.0,1.0
378.0,110.0,1.0
1411.0,110.0,-1.0
1447.0,110.0,-1.0
1032.0,111.0,-1.0
1447.0,111.0,1.0
37.0,112.0,1.0
40.0,112.0,1.0
257.0,112.0,-1.0
378.0,112.0,1.0
386.0,112.0,-1.0
626.0,112.0,1.0
1450.0,112.0,-1.0
378.0,113.0,1.0
1036.0,113.0,-1.0
1411.0,113.0,-1.0
1450.0,113.0,1.0
55.0,114.0,-1.0
134.0,114.0,1.0
378.0,114.0,2.0
386.0,114.0,-1.0
748.0,114.0,1.0
28.0,115.0,-1.0
134.0,115.0,1.0
653.0,115.0,1.0
691.0,115.0,-1.0
40.0,116.0,1.0
199.0,116.0,-1.0
257.0,116.0,-1.0
378.0,116.0,1.0
800.0,116.0,1.0
134.0,117.0,1.0
437.0,117.0,1.0
459.0,117.0,-1.0
70.0,118.0,1.0
83.0,118.0,-1.0
437.0,118.0,1.0
243.0,119.0,-1.0
367.0,119.0,-1.0
378.0,119.0,2.0
459.0,119.0,1.0
496.0,119.0,1.0
512.0,119.0,-1.0
626.0,119.0,1.0
40.0,120.0,1.0
243.0,120.0,1.0
257.0,120.0,-1.0
378.0,120.0,1.0
386.0,120.0,-1.0
626.0,120.0,1.0
1379.0,120.0,-1.0
243.0,121.0,1.0
378.0,121.0,2.0
1379.0,121.0,-1.0
1411.0,121.0,-2.0
243.0,122.0,1.0
378.0,122.0,1.0
1379.0,122.0,-1.0
1411.0,122.0,-1.0
885.0,123.0,-1.0
1379.0,123.0,1.0
219.0,124.0,-1.0
351.0,124.0,1.0
378.0,124.0,1.0
638.0,124.0,1.0
649.0,124.0,-1.0
141.0,125.0,1.0
254.0,125.0,-1.0
378.0,125.0,1.0
680.0,125.0,-1.0
684.0,125.0,1.0
257.0,126.0,-1.0
378.0,126.0,-1.0
386.0,126.0,-1.0
528.0,126.0,1.0
687.0,126.0,1.0
40.0,127.0,1.0
257.0,127.0,-1.0
378.0,127.0,1.0
386.0,127.0,-1.0
626.0,127.0,1.0
257.0,128.0,-1.0
653.0,128.0,1.0
677.0,128.0,1.0
691.0,128.0,-1.0
40.0,129.0,-1.0
257.0,129.0,1.0
378.0,129.0,3.0
386.0,129.0,1.0
626.0,129.0,-1.0
1411.0,129.0,-4.0
81.0,130.0,1.0
378.0,130.0,1.0
1411.0,130.0,-1.0
1458.0,130.0,-1.0
1044.0,131.0,-1.0
1458.0,131.0,1.0
134.0,132.0,1.0
386.0,132.0,-1.0
626.0,132.0,1.0
796.0,132.0,-1.0
275.0,133.0,1.0
279.0,133.0,-1.0
378.0,133.0,-1.0
386.0,133.0,1.0
676.0,133.0,1.0
678.0,133.0,-1.0
275.0,134.0,1.0
279.0,134.0,-1.0
378.0,134.0,-1.0
386.0,134.0,1.0
680.0,134.0,1.0
684.0,134.0,-1.0
124.0,135.0,-1.0
275.0,135.0,1.0
296.0,135.0,-1.0
378.0,135.0,1.0
430.0,135.0,1.0
610.0,135.0,1.0
975.0,135.0,-1.0
892.0,136.0,-1.0
1382.0,136.0,1.0
890.0,137.0,-1.0
1380.0,137.0,1.0
286.0,138.0,-1.0
378.0,138.0,1.0
1387.0,138.0,1.0
1411.0,138.0,-1.0
895.0,139.0,-1.0
1387.0,139.0,1.0
35.0,140.0,-1.0
378.0,140.0,1.0
552.0,140.0,1.0
1273.0,140.0,1.0
1411.0,140.0,-1.0
1486.0,140.0,-1.0
286.0,141.0,-1.0
670.0,141.0,1.0
1387.0,141.0,1.0
1549.0,141.0,-1.0
31.0,142.0,1.0
257.0,142.0,-1.0
285.0,142.0,-1.0
378.0,142.0,-1.0
661.0,142.0,1.0
378.0,143.0,1.0
899.0,143.0,-1.0
1389.0,143.0,1.0
1411.0,143.0,-1.0
40.0,144.0,1.0
257.0,144.0,-1.0
285.0,144.0,1.0
378.0,144.0,1.0
386.0,144.0,-1.0
626.0,144.0,1.0
1389.0,144.0,-1.0
40.0,145.0,1.0
257.0,145.0,-1.0
287.0,145.0,1.0
378.0,145.0,1.0
386.0,145.0,-1.0
626.0,145.0,1.0
1393.0,145.0,-1.0
378.0,146.0,1.0
902.0,146.0,-1.0
1393.0,146.0,1.0
1411.0,146.0,-1.0
40.0,147.0,2.0
257.0,147.0,-2.0
289.0,147.0,1.0
378.0,147.0,2.0
386.0,147.0,-1.0
396.0,147.0,-1.0
533.0,147.0,-1.0
541.0,147.0,1.0
626.0,147.0,1.0
40.0,148.0,1.0
257.0,148.0,-1.0
291.0,148.0,-1.0
378.0,148.0,1.0
386.0,148.0,-1.0
626.0,148.0,1.0
1395.0,148.0,1.0
291.0,149.0,-1.0
378.0,149.0,1.0
1395.0,149.0,1.0
1411.0,149.0,-1.0
905.0,150.0,-1.0
1395.0,150.0,1.0
291.0,151.0,1.0
1395.0,151.0,-1.0
303.0,152.0,-1.0
348.0,152.0,1.0
378.0,152.0,2.0
386.0,152.0,-1.0
768.0,152.0,1.0
319.0,153.0,-1.0
348.0,153.0,1.0
378.0,153.0,2.0
386.0,153.0,-1.0
770.0,153.0,1.0
317.0,154.0,-1.0
348.0,154.0,1.0
378.0,154.0,2.0
386.0,154.0,-1.0
772.0,154.0,1.0
310.0,155.0,-1.0
348.0,155.0,1.0
378.0,155.0,2.0
386.0,155.0,-1.0
776.0,155.0,1.0
304.0,156.0,-1.0
348.0,156.0,1.0
378.0,156.0,2.0
386.0,156.0,-1.0
778.0,156.0,1.0
313.0,157.0,-1.0
348.0,157.0,1.0
378.0,157.0,2.0
386.0,157.0,-1.0
784.0,157.0,1.0
311.0,158.0,-1.0
348.0,158.0,1.0
378.0,158.0,2.0
386.0,158.0,-1.0
785.0,158.0,1.0
40.0,159.0,1.0
162.0,159.0,-1.0
229.0,159.0,1.0
257.0,159.0,-1.0
378.0,159.0,1.0
64.0,160.0,2.0
124.0,160.0,-2.0
362.0,160.0,1.0
378.0,160.0,2.0
557.0,160.0,-1.0
64.0,161.0,2.0
124.0,161.0,-2.0
365.0,161.0,1.0
378.0,161.0,2.0
578.0,161.0,-1.0
64.0,162.0,2.0
124.0,162.0,-2.0
364.0,162.0,1.0
378.0,162.0,2.0
562.0,162.0,-1.0
64.0,163.0,2.0
124.0,163.0,-2.0
369.0,163.0,1.0
378.0,163.0,2.0
584.0,163.0,-1.0
40.0,164.0,1.0
257.0,164.0,-1.0
323.0,164.0,1.0
378.0,164.0,1.0
386.0,164.0,-1.0
626.0,164.0,1.0
1400.0,164.0,-1.0
908.0,165.0,-1.0
1400.0,165.0,1.0
40.0,166.0,1.0
257.0,166.0,-1.0
325.0,166.0,1.0
378.0,166.0,1.0
386.0,166.0,-1.0
626.0,166.0,1.0
1401.0,166.0,-1.0
912.0,167.0,-1.0
1401.0,167.0,1.0
138.0,168.0,-1.0
329.0,168.0,1.0
626.0,168.0,1.0
163.0,169.0,1.0
329.0,169.0,-1.0
734.0,169.0,1.0
267.0,170.0,1.0
331.0,170.0,-1.0
718.0,170.0,1.0
331.0,171.0,1.0
645.0,171.0,-1.0
1403.0,171.0,-1.0
1652.0,171.0,1.0
916.0,172.0,-1.0
1403.0,172.0,1.0
40.0,173.0,1.0
257.0,173.0,-1.0
378.0,173.0,1.0
386.0,173.0,-1.0
626.0,173.0,1.0
868.0,173.0,-1.0
1644.0,173.0,1.0
1144.0,174.0,-1.0
1444.0,174.0,1.0
1025.0,175.0,-1.0
1436.0,175.0,1.0
1186.0,176.0,1.0
1482.0,176.0,-1.0
1411.0,177.0,1.0
1418.0,177.0,-1.0
1520.0,177.0,1.0
