vector,row,col
v,3357,1
I,V
1274.0,-8.851984472161525e-17
1275.0,-6.20697546839759e-17
1277.0,-1.691671587505011e-16
1278.0,-2.1384888084785815e-17
1281.0,1.5129520408922088e-16
1286.0,1.0110666994881376e-17
1287.0,-1.6140587108410225e-16
1290.0,-6.096005169606524e-17
1291.0,-6.096005169606524e-17
1292.0,-6.096005169606524e-17
1294.0,8.12635787596958e-17
1303.0,-6.096005169606524e-17
1310.0,-6.096005169606524e-17
1311.0,7.263543783677971e-17
1312.0,1.8142980401135655e-16
1314.0,5.780890624308213e-17
1320.0,1.734267187292464e-16
1322.0,-5.414135120893027e-17
1323.0,1.734267187292464e-16
1324.0,-5.414135120893027e-17
1326.0,-5.414135120893027e-17
1327.0,4.942327177616823e-17
1332.0,4.942327177616823e-17
1333.0,4.942327177616823e-17
1336.0,-9.383384497664663e-17
1339.0,-3.8698229041764326e-17
1350.0,-3.8698229041764326e-17
1358.0,-6.096005169606524e-17
1360.0,-9.572183304181503e-17
1361.0,4.791434437378869e-16
1363.0,4.791434437378869e-16
1372.0,7.263543783677971e-17
1382.0,-2.219248353194651e-16
1412.0,3.351546120156286e-17
1415.0,4.942327177616823e-17
1429.0,-7.993898101897025e-17
1435.0,-3.478990868247829e-16
1437.0,-1.074256721752689e-16
1439.0,-9.383384497664663e-17
1440.0,-9.383384497664663e-17
1449.0,-5.748652767797019e-16
1451.0,5.748652767797019e-16
1455.0,-9.572183304181503e-17
1456.0,-3.478990868247829e-16
1457.0,-3.478990868247829e-16
1468.0,-6.647691080593174e-17
1488.0,-7.263543783677971e-17
1504.0,-6.647691080593174e-17
1505.0,9.99923720074946e-17
1513.0,-7.263543783677971e-17
1515.0,7.263543783677971e-17
1526.0,-4.124075197720592e-17
1528.0,4.124075197720592e-17
1542.0,-7.263543783677971e-17
1546.0,2.5744485354009624e-17
1553.0,2.5744485354009624e-17
1554.0,1.8766768995329327e-16
1559.0,1.8766768995329327e-16
1562.0,3.289211566673463e-16
1563.0,3.289211566673463e-16
1576.0,9.85531997011072e-18
1577.0,1.8766768995329327e-16
1578.0,2.5744485354009624e-17
1579.0,-8.90996888688462e-17
1581.0,1.8766768995329327e-16
1589.0,5.273821162734207e-17
1599.0,7.317998774451428e-17
1604.0,1.2872242677004812e-17
1611.0,-1.1928536752031613e-16
1615.0,-1.1928536752031613e-16
1632.0,-7.245210114915494e-33
1633.0,7.263543783677971e-17
1643.0,1.0262877874574037e-16
1644.0,1.0262877874574037e-16
1654.0,5.273821162734207e-17
1657.0,5.273821162734207e-17
1658.0,-3.1642926976405245e-17
1659.0,-3.1642926976405245e-17
1660.0,-3.1642926976405245e-17
1661.0,-3.1642926976405245e-17
1662.0,-3.1642926976405245e-17
1663.0,-3.1642926976405245e-17
1664.0,-3.1642926976405245e-17
1666.0,3.0705300360625427e-17
1667.0,1.5352650180312713e-17
1668.0,3.0705300360625427e-17
1670.0,3.0705300360625427e-17
1689.0,1.4462309899172888e-16
1719.0,5.521823839455294e-17
1725.0,-7.317998774451428e-17
1727.0,3.1642926976405245e-17
1762.0,-3.3014749773358445e-17
1763.0,0.687616116620492
1764.0,-5.273821162734207e-17
1770.0,-4.942327177616823e-17
1771.0,4.942327177616823e-17
1787.0,2.5406524184813625e-16
1795.0,-5.414135120893027e-17
1796.0,5.414135120893027e-17
1801.0,-7.770488568743137e-17
1802.0,9.55453065058961e-17
1811.0,-5.414135120893027e-17
1812.0,-5.414135120893027e-17
1813.0,7.245210114915494e-33
1814.0,7.245210114915494e-33
1838.0,-3.3014749773358445e-17
1840.0,-2.945602731562448e-16
1853.0,5.215377784520684e-17
1854.0,5.215377784520684e-17
1855.0,5.215377784520684e-17
1856.0,5.215377784520684e-17
1857.0,5.215377784520684e-17
1865.0,5.215377784520684e-17
1872.0,8.90996888688462e-17
1874.0,-1.8328498537972935e-16
1878.0,3.0549840121122593e-18
1879.0,8.464202241011727e-19
1880.0,-8.377602842218485e-19
1881.0,-5.1012427457365945e-34
1888.0,5.215377784520684e-19
1923.0,-1.0483500432673971e-16
1924.0,5.521823839455294e-17
1925.0,5.521823839455294e-17
1949.0,-5.414135120893027e-17
1950.0,-2.4808382966093386e-17
1957.0,-5.414135120893027e-17
1970.0,1.2219936048449037e-17
1996.0,7.263543783677971e-17
2015.0,2.155911809344945e-16
2039.0,7.739645808352865e-17
2040.0,-2.869390351287177e-16
2042.0,7.739645808352865e-17
2044.0,7.739645808352865e-17
2076.0,1.8142980401135655e-16
2090.0,-9.572183304181503e-17
2093.0,-5.414135120893027e-17
2095.0,2.8743263838985096e-16
2103.0,7.739645808352865e-17
2108.0,7.739645808352865e-17
2109.0,7.739645808352865e-17
