vector,row,col
v,4456,1
I,V
226.0,2.5574125124430727e-17
237.0,-1.705989610128667e-16
244.0,-1.9511804985824735e-18
250.0,-1.2826512842205615e-16
252.0,1.3952595350937745e-17
254.0,-2.465190328815662e-32
257.0,-1.8795537929732982e-18
260.0,-5.212353034691792e-19
261.0,-1.9287432173073104e-18
262.0,-3.0307589168605252e-18
267.0,-2.374036953383629e-18
269.0,-3.8531715728309356e-19
270.0,-1.1253159531851152e-18
271.0,-2.5099550995697147e-18
282.0,-1.759771378322757e-17
283.0,-1.759771378322757e-17
287.0,-4.451642902228081e-18
290.0,8.913123331097613e-17
292.0,-2.0818594511989192e-16
294.0,5.662012463853956e-17
296.0,-3.5159675356851114e-17
299.0,5.662012463853956e-17
303.0,3.5159675356851114e-17
306.0,-3.5159675356851114e-17
307.0,-1.3699226075162668e-17
311.0,-2.4242121088334076e-17
316.0,-2.1527148491100514e-17
318.0,-2.465190328815662e-32
321.0,-1.8488927466117464e-31
323.0,-1.9930097461512338e-17
325.0,5.946453674739404e-18
328.0,4.8858901432013767e-17
331.0,5.946453674739404e-18
337.0,3.519542756645514e-17
338.0,2.1527148491100514e-17
342.0,-3.5159675356851114e-17
345.0,5.662012463853956e-17
351.0,1.927689100301348e-16
353.0,2.9588336706301314e-18
356.0,-3.0022808290882026e-18
358.0,-1.9352155099828384e-18
363.0,-5.639899338542168e-17
365.0,-2.5191163672585045e-31
370.0,-2.680622309671296e-16
372.0,-3.8531715728309356e-19
373.0,-3.3306690738754696e-16
378.0,1.0537866211663586e-18
381.0,4.513004801568987e-19
392.0,-1.759771378322757e-17
401.0,-4.305429698220103e-17
402.0,5.946453674739404e-18
408.0,1.8795537929732982e-18
409.0,-4.3496530970641723e-17
411.0,6.644407305106504e-18
412.0,6.644407305106504e-18
414.0,5.474819564230806e-17
420.0,5.474819564230806e-17
423.0,4.451642902228081e-18
433.0,4.8858901432013816e-17
436.0,6.905926252817654e-18
438.0,2.5191163672585045e-31
446.0,-2.898141462271843e-16
447.0,5.342332327924544e-17
455.0,-1.0663420101439433e-16
470.0,1.767321428287962e-17
472.0,1.2935704932815762e-16
476.0,-9.96826046332208e-17
478.0,3.8142005653809716e-17
479.0,3.8142005653809716e-17
480.0,3.8142005653809716e-17
481.0,3.8142005653809716e-17
493.0,4.440892098500626e-16
495.0,3.627167181585275e-18
496.0,1.1102230246251565e-16
498.0,-4.853463471691486e-16
506.0,4.440892098500626e-16
508.0,-3.619693432205481e-16
512.0,5.63479939642167e-16
513.0,-2.01510596421619e-16
517.0,1.1102230246251565e-16
519.0,4.440892098500626e-16
520.0,-5.51484345130993e-16
521.0,-4.440892098500626e-16
522.0,5.551115123125783e-16
533.0,3.1412103647830537e-17
552.0,-0.47397487176008807
555.0,-0.666595822156204
566.0,1.1102230246251565e-16
582.0,0.9373794051857981
585.0,-4.666304518658851e-16
595.0,-3.5563291036307825e-16
604.0,4.440892098500626e-16
605.0,1.4601857171779552e-16
606.0,-2.647621705209602e-16
621.0,1.2212453270876722e-15
622.0,1.794398416515012e-16
624.0,-7.214532518156067e-16
644.0,-3.5563291036307825e-16
652.0,-1.0418653753224691e-17
657.0,-3.283604532181606e-16
675.0,-1.3968479767389217e-16
681.0,-1.3968479767389217e-16
700.0,-3.5159675356851015e-17
703.0,-1.3968479767389217e-16
706.0,-5.2452670652257265e-17
709.0,-1.3968479767389217e-16
723.0,5.2452670652257265e-17
724.0,5.2452670652257265e-17
725.0,5.2452670652257265e-17
726.0,5.2452670652257265e-17
727.0,5.2452670652257265e-17
728.0,5.2452670652257265e-17
729.0,5.2452670652257265e-17
730.0,5.2452670652257265e-17
731.0,5.2452670652257265e-17
732.0,5.2452670652257265e-17
733.0,5.2452670652257265e-17
734.0,5.2452670652257265e-17
735.0,-1.3968479767389217e-16
737.0,-1.697489327153492e-16
739.0,3.006413504145705e-17
754.0,-3.006413504145705e-17
762.0,3.006413504145705e-17
769.0,-1.697489327153492e-16
780.0,7.214532518156067e-16
785.0,-7.385181717261309e-16
822.0,-4.608260645092402e-16
823.0,2.01510596421619e-16
831.0,4.440892098500626e-16
842.0,-9.860761315262648e-32
849.0,1.8477242559927064e-17
850.0,-7.771561172376096e-16
857.0,-4.213655143083108e-17
860.0,1.1102230246251565e-16
880.0,8.881784197001252e-16
889.0,-4.440892098500626e-16
890.0,4.440892098500626e-16
891.0,-3.99699578823044e-16
919.0,8.881784197001252e-16
956.0,-0.47397487176008807
959.0,-0.6665958221562045
960.0,-1.4601857171779552e-16
965.0,-1.0265387513292685e-16
972.0,-4.440892098500626e-16
973.0,5.51484345130993e-16
975.0,-5.551115123125783e-16
980.0,1.2750217548429532e-15
983.0,-3.283604532181607e-16
985.0,9.860761315262648e-32
986.0,0.9373794051857981
987.0,-3.1905019083512975e-17
993.0,7.771561172376096e-16
1034.0,3.99699578823044e-16
1050.0,1.6418022660908036e-16
1055.0,4.0909294059478275e-16
1061.0,-5.51484345130993e-16
1064.0,-1.2212453270876722e-15
1065.0,-1.794398416515012e-16
1070.0,3.89724918836177e-16
1073.0,1.148636884453133e-16
1074.0,2.884641496450844e-17
1077.0,-4.666304518658851e-16
1091.0,2.1733815075564497e-16
1111.0,8.881784197001252e-16
1122.0,2.3251788647264062e-17
1126.0,-8.295866936180035e-17
1152.0,-4.416007024952398e-16
